Time,Source,Destination,Protocol,Length,Source Port,Destination Port,bad_packet
13.95203303,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
27.599557311,192.167.5.35,192.167.5.22,ICMP,42,,,1
28.643795329,192.167.5.35,192.167.5.22,ICMP,42,,,1
20.764896262,192.167.5.35,142.251.32.14,TLSv1.2,93,49734.0,443.0,0
13.805306742,192.167.5.35,192.232.16.204,TCP,54,57914.0,443.0,0
18.870805029,192.167.5.22,192.167.5.35,ICMP,60,,,0
18.676999651,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
13.793904761,192.167.5.35,192.232.16.204,TCP,54,57914.0,443.0,0
23.346853826,192.167.5.35,192.167.5.22,ICMP,42,,,1
33.630528586,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
14.072543309,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.859968879,192.167.5.22,192.167.5.35,ICMP,60,,,0
18.735444828,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.854847173,192.167.5.22,192.167.5.35,ICMP,60,,,0
8.833194395,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
13.93170604,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
3.659272414,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
8.865969714,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
8.924363579,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
3.669145732,VMware_8a:31:5e,Broadcast,ARP,60,,,0
23.930601809,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
28.847981713,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
8.870649242,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
27.208316189,192.167.5.35,142.251.32.14,TLSv1.2,93,49734.0,443.0,0
34.788923094,192.167.5.35,192.167.5.22,ICMP,42,,,1
18.878902809,192.167.5.22,192.167.5.35,ICMP,60,,,0
31.805771022,192.167.5.35,192.167.5.22,ICMP,42,,,1
35.168236149,192.167.5.35,192.167.5.22,ICMP,42,,,1
3.740885378,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
26.342301754,192.167.5.35,192.167.5.22,ICMP,42,,,1
28.805515646,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
8.933778622,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
33.744896205,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
